Track,SDR,SI-SDR,SIR,SAR
Pyotr Ilyich Tchaikovsky_Swan Lake Waltz,0.5465366606872553,0.15462715923786163,inf,0.5465366606872553
Joseph Haydn_3 Nemet-3 Deutsche Tanze,8.328506373807354,7.431948184967041,inf,8.328506373807354
George Frideric Handel_HWV370-score-1,11.380854255555287,10.330208778381348,inf,11.380854255555287
Johann Sebastian Bach_Prelude and Fugue in D major,14.391512296305859,13.897163391113281,inf,14.391512296305859
Frederic Chopin_Mazuka V,6.890953518080504,6.334190368652344,inf,6.890953518080504
